Courier_rate,Rate,,,,,,,,,,,,,,,,,,
fwd_a_fixed,29.5,,,,,,,,,,,,,,,,,,
fwd_a_additional,23.6,,,,,,,,,,,,,,,,,,
fwd_b_fixed,33,,,,,,,,,,,,,,,,,,
fwd_b_additional,28.3,,,,,,,,,,,,,,,,,,
fwd_c_fixed,40.1,,,,,,,,,,,,,,,,,,
fwd_c_additional,38.9,,,,,,,,,,,,,,,,,,
fwd_d_fixed,45.4,,,,,,,,,,,,,,,,,,
fwd_d_additional,44.8,,,,,,,,,,,,,,,,,,
fwd_e_fixed,56.6,,,,,,,,,,,,,,,,,,
fwd_e_additional,55.5,,,,,,,,,,,,,,,,,,
rto_a_fixed,13.6,,,,,,,,,,,,,,,,,,
rto_a_additional,23.6,,,,,,,,,,,,,,,,,,
rto_b_fixed,20.5,,,,,,,,,,,,,,,,,,
rto_b_additional,28.3,,,,,,,,,,,,,,,,,,
rto_c_fixed,31.9,,,,,,,,,,,,,,,,,,
rto_c_additional,38.9,,,,,,,,,,,,,,,,,,
rto_d_fixed,41.3,,,,,,,,,,,,,,,,,,
rto_d_additional,44.8,,,,,,,,,,,,,,,,,,
rto_e_fixed,50.7,,,,,,,,,,,,,,,,,,
rto_e_additional,55.5,,,,,,,,,,,,,,,,,,
